,id,song_id,platform_name,platform_url,views,likes,comments
631,632,632,YouTube,https://www.youtube.com/watch?v=JihE78hD6Pc,31741.0,772.0,102.0
632,633,633,YouTube,https://www.youtube.com/watch?v=4j2kOXBsOeA,51250.0,1231.0,110.0
633,634,634,YouTube,https://www.youtube.com/watch?v=qurK91hKOj8,191838.0,1910.0,129.0
634,635,635,YouTube,https://www.youtube.com/watch?v=HMdsTl6jGEs,39434.0,508.0,45.0
635,636,636,YouTube,https://www.youtube.com/watch?v=l5gxXW-r0SM,20910.0,181.0,26.0
636,637,637,YouTube,https://www.youtube.com/watch?v=uXgfF2EPD9k,128435.0,1246.0,32.0
637,638,638,YouTube,https://www.youtube.com/watch?v=S5yfVrMkMwQ,209128.0,2191.0,124.0
638,639,639,YouTube,https://www.youtube.com/watch?v=3yYcVQMjvqw,87374.0,1852.0,227.0
639,640,640,YouTube,https://www.youtube.com/watch?v=o3pYb4EIamo,3110812.0,20607.0,1022.0
640,641,641,YouTube,https://www.youtube.com/watch?v=r7K_aVExDTs,714257.0,5298.0,356.0
641,642,642,YouTube,https://www.youtube.com/watch?v=WzYh-v010Kc,11435852.0,27619.0,1086.0
642,643,643,YouTube,https://www.youtube.com/watch?v=CslzH03A6Y4,103580.0,1860.0,203.0
643,644,644,YouTube,https://www.youtube.com/watch?v=YOcFHC_hccw,429251.0,3368.0,222.0
644,645,645,YouTube,https://www.youtube.com/watch?v=9WOrpbszcIk,19884699.0,87486.0,4084.0
645,646,646,YouTube,https://www.youtube.com/watch?v=QWUVncnTNNE,26073872.0,114436.0,5184.0
646,647,647,YouTube,https://www.youtube.com/watch?v=boPSJDQoVq4,55483.0,780.0,74.0
647,648,648,YouTube,https://www.youtube.com/watch?v=tlFjbHJPWpU,50140.0,695.0,40.0
648,649,649,YouTube,https://www.youtube.com/watch?v=qXLFJ9kJwpg,250669.0,1829.0,185.0
649,650,650,YouTube,https://www.youtube.com/watch?v=T_ILMDr3k5E,33130.0,436.0,55.0
650,651,651,YouTube,https://www.youtube.com/watch?v=ARdcPx16ARQ,60664.0,782.0,53.0
651,652,652,YouTube,https://www.youtube.com/watch?v=k_kII6jifeE,40653.0,437.0,54.0
652,653,653,YouTube,https://www.youtube.com/watch?v=V1mZyczeUbo,42545.0,622.0,37.0
653,654,654,YouTube,https://www.youtube.com/watch?v=dVhXkFTofF8,53180.0,836.0,54.0
654,655,655,YouTube,https://www.youtube.com/watch?v=PUiGB3t62XI,52507.0,586.0,36.0
655,656,656,YouTube,https://www.youtube.com/watch?v=qzo0qjmN_gU,97675.0,1071.0,57.0
656,657,657,YouTube,https://www.youtube.com/watch?v=u0Jqw2pOXY0,52643.0,976.0,63.0
